Sl No,Accident_Index,Date,Day_of_Week,Time_of_Accident,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Nature_of_Accident_B1,Nature_of_Accident_B2,Nature_of_Accident_B3,Accident_Severity_C,Classification_of_Accident_C1,Classification_of_Accident_C2,Classification_of_Accident_C3,Causes_D1,Causes_D2,Causes_D3,Causes_D4,Causes_D5,Road_Feature_E,Road_Condition_F,Intersection_Type_G,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Vehicle_Type_Involved_J_V3,Vehicle_Type_Involved_J_V4,Number_of_Vehicles,Number_of_Casualties_Fatel,Number_of_Casualties_GrievousInjury,Number_of_Casualties_MinorInjury,Number_of_Casualties_NotInjured,Number_of_Casualties,Remarks
1,201300001,41518,7,13:00,2,187.6,RHS,8,,,3,9,,,2,,,,,2,3,9,8,1,,,,1,,,2,,2,
2,201300002,41521,3,15:25,2,152.3,LHS,4,,,4,3,,,3,,,,,2,6,4,12,5,,,,1,,,,1,0,
3,201300003,41526,1,00:40,2,177.8,RHS,4,,,4,3,,,3,,,,,2,6,4,12,5,,,,1,,,,1,0,
4,201300004,41528,3,07:30,2,186.8,LHS,8,,,3,9,,,2,,,,,2,3,9,8,1,,,,1,,,1,,1,
5,201300005,41534,2,13:00,2,173.4,LHS,5,,,4,9,,,4,,,,,3,4,5,7,1,,,,1,,,,1,0,
6,201300006,41536,4,10:15,2,238.3,RHS,6,,,3,9,,,3,,,,,4,4,4,8,1,,,,1,,,1,,1,
7,201300007,41536,4,23:40,2,209.6,RHS,5,,,2,5,,,3,,,,,2,6,6,12,5,,,,1,,1,1,,2,
8,201300008,41537,5,08:15,2,214,LHS,8,,,2,5,,,1,,,,,1,4,4,12,1,,,,1,,1,,,1,
9,201300009,41543,4,22:15,2,226,LHS,5,,,3,9,,,3,,,,,2,5,7,12,6,5,,,2,,,1,,1,
10,201300010,41544,5,18:25,2,178.2,LHS,8,,,3,9,,,2,,,,,2,3,9,8,5,,,,1,,,1,1,1,
